Country,Year,LifeExpectancy,InfantDeaths,BirthRate,Population
Germany,2024,82.04,2080,9322,83252474
Germany,2023,81.88,2133,9373,83294633
Germany,2022,81.72,2344,9381,83369843
Germany,2021,81.57,2555,9389,83408554
Germany,2020,81.41,2767,9397,83328988
Germany,2019,81.26,2978,9405,83148141
Germany,2018,81.1,3189,9413,82896696
Germany,2017,80.97,3223,9235,82624374
Germany,2016,80.84,3256,9057,82331423
Germany,2015,80.7,3290,8878,82073226
Germany,2014,80.57,3323,8700,81858825
Germany,2013,80.44,3357,8522,81680591
Germany,2012,80.3,3418,8489,81545565
Germany,2011,80.16,3479,8456,81423378
Germany,2010,80.01,3541,8422,81325090
Germany,2009,79.87,3602,8389,81260615
Germany,2008,79.73,3663,8356,81217482
Germany,2007,79.51,3761,8443,81183830
Germany,2006,79.29,3859,8530,81177817
Germany,2005,79.06,3956,8616,81212168
Germany,2004,78.84,4054,8703,81266673
Germany,2003,78.62,4152,8790,81346810
Germany,2002,78.36,4273,8945,81443427
Germany,2001,78.1,4394,9101,81514568
Germany,2000,77.83,4515,9256,81551677
Germany,1999,77.57,4636,9412,81556965
Germany,1998,77.31,4757,9567,81524383
Germany,1997,77.04,5003,9632,81436087
Germany,1996,76.78,5249,9696,81300865
Germany,1995,76.51,5496,9761,81123262
Germany,1994,76.25,5742,9825,80882126
Germany,1993,75.98,5988,9890,80573488
Germany,1992,75.78,6446,10103,80205030
Germany,1991,75.58,6903,10316,79801988
Germany,1990,75.39,7361,10530,79370196
Germany,1989,75.19,7818,10743,78916438
Germany,1988,74.99,8276,10956,78477530
Germany,1987,74.72,8835,10901,78090895
Germany,1986,74.45,9394,10846,77803357
Germany,1985,74.19,9952,10790,77638808
Germany,1984,73.92,10511,10735,77568572
Germany,1983,73.65,11070,10680,77566064
Germany,1982,73.38,11960,10606,77610430
Germany,1981,73.11,12849,10532,77684489
Germany,1980,72.84,13739,10458,77786703
Germany,1979,72.57,14628,10384,77915727
Germany,1978,72.3,15518,10310,78071549
Germany,1977,72.07,16573,10513,78221272
Germany,1976,71.84,17629,10716,78364216
Germany,1975,71.61,18684,10920,78513511
Germany,1974,71.38,19740,11123,78620534
Germany,1973,71.15,20795,11326,78667466
Germany,1972,71.05,21158,12257,78643556
Germany,1971,70.96,21521,13188,78511398
Germany,1970,70.86,21884,14120,78294583
Germany,1969,70.77,22247,15051,78012485
Germany,1968,70.67,22610,15982,77646126
Germany,1967,70.53,24133,16320,77173553
Germany,1966,70.39,25656,16658,76618716
Germany,1965,70.25,27180,16995,76037469
Germany,1964,70.11,28703,17333,75423245
Germany,1963,69.97,30226,17671,74796217
Germany,1962,69.76,31888,17457,74194417
Germany,1961,69.55,33550,17242,73604346
Germany,1960,69.33,35212,17028,73063695
Germany,1959,69.12,36874,16813,72578945
Germany,1958,68.91,38536,16599,72136470
Germany,1957,68.63,40101,16415,71771634
Germany,1956,68.35,41667,16232,71473269
Germany,1955,68.08,43232,16048,71222628
Germany,1954,67.8,44798,15865,71020731
Germany,1953,67.52,46363,15681,70879443
Germany,1952,67.24,47928,15497,70808373
Germany,1951,66.96,49494,15314,70820042
Germany,1950,66.69,51059,15130,70964095
Argentina,2024,77.32,8746,16009,46057866
Argentina,2023,77.17,8951,16172,45773884
Argentina,2022,77.03,9206,16360,45510318
Argentina,2021,76.88,9461,16548,45276780
Argentina,2020,76.74,9715,16736,45036032
Argentina,2019,76.59,9970,16924,44745520
Argentina,2018,76.45,10225,17112,44413596
Argentina,2017,76.29,10591,17273,44054616
Argentina,2016,76.14,10957,17433,43668241
Argentina,2015,75.98,11324,17594,43257065
Argentina,2014,75.83,11690,17754,42824054
Argentina,2013,75.67,12056,17915,42388269
Argentina,2012,75.51,12487,18009,41952365
Argentina,2011,75.35,12918,18103,41520740
Argentina,2010,75.19,13349,18198,41100123
Argentina,2009,75.03,13780,18292,40684338
Argentina,2008,74.87,14211,18386,40273769
Argentina,2007,74.7,14719,18538,39876111
Argentina,2006,74.53,15226,18690,39476851
Argentina,2005,74.36,15734,18842,39070501
Argentina,2004,74.19,16241,18994,38668796
